,0,1
0,5.7943163,7.862151
1,4.485243,10.713624
2,4.1335273,11.553055
3,3.0145748,9.9283905
4,1.9569402,-4.614617
5,3.1228554,-5.320181
6,2.4789734,-4.5538845
7,3.2045035,-4.0689487
8,2.4113693,-0.4164343
9,3.7632518,-1.4470215
10,2.472324,-3.7261992
11,2.8995216,-0.9708121
12,4.375497,-4.21696
13,2.658197,-4.878282
14,4.085805,-3.9878583
15,-3.9893231,-1.4747999
16,-6.940163,1.4247677
17,-11.452095,0.97965455
18,-6.9644294,-0.20537186
19,-12.384342,2.086813
20,-13.392145,3.826146
21,-0.40692377,-2.9336023
22,5.1882277,7.087525
23,3.7681603,11.352833
24,4.704448,5.0498323
25,3.3970304,-4.3034654
26,4.736278,2.1818585
27,-6.645802,-0.51356316
28,-11.345903,2.0468493
29,-3.2900562,3.4917598
30,-3.9516482,-2.495945
31,5.6376777,7.9204426
32,5.23783,6.356224
33,3.8079214,-2.7948108
34,3.7092557,0.5736282
35,5.8785734,1.3150045
36,4.6178956,-0.5669589
37,5.132368,1.2160857
38,1.5000954,-1.8037701
39,5.699265,3.9908671
40,-7.125076,1.0830482
41,-2.4866261,3.2820835
42,-1.1769032,-0.68564487
43,5.926881,8.580165
44,4.8674407,-1.2658708
45,3.7289243,1.3379447
46,5.517733,2.7590094
47,3.8762386,-0.18810439
48,2.4546463,-1.4380274
49,0.75210357,-3.5731177
50,4.8447,0.084795475
51,4.5963254,1.5195022
52,4.3708153,11.2735405
53,5.475078,9.804297
54,5.4742746,7.407272
55,4.5967712,5.6445165
56,-2.8531075,-2.954576
57,-13.391903,3.5129392
58,2.073267,-2.1518307
59,0.14380026,-1.5508878
60,1.3474358,-3.2771912
61,-11.944042,2.8784268
62,-1.5575461,-1.4962783
63,4.091798,-4.3341036
64,5.4491196,-2.068585
65,3.493233,-1.6014571
66,3.4759603,1.7297168
67,-12.772995,2.4085896
68,-3.6461258,-2.0235052
69,3.8935509,-2.7203436
70,1.5988406,-5.3134923
71,3.7125044,1.3732955
72,-3.3899627,0.102354765
73,2.8445764,-5.350918
74,2.9327915,0.41609335
75,5.400555,3.4822297
76,1.3102092,-4.464654
77,-8.112118,3.6346092
78,-7.2183948,-1.2142978
79,1.2231987,-3.514892
80,-1.481988,-4.2565875
81,1.9484453,-4.1233344
82,1.7879794,-3.8983078
83,-7.4616055,0.36370254
84,2.2143173,-0.2245369
85,0.38340974,-1.6073647
86,-5.7077193,-1.9807963
87,4.345481,2.9467144
88,-8.947556,2.180494
89,-4.234176,1.0333459
90,5.514057,9.700823
91,-8.92658,1.669566
92,4.249207,-1.4059772
93,2.4941447,-4.8830614
94,-3.9051886,0.84131193
95,-12.297859,3.069846
96,2.7110703,-1.3038034
97,1.7934595,-4.111617
98,3.284532,-2.1457043
99,2.8219576,-1.3866262
100,-8.642811,-0.48437953
101,-2.5217452,-3.21593
102,4.5941696,0.3975582
103,-13.586958,3.1331923
104,-1.1749613,-4.200679
105,-5.7441525,-2.276001
106,-2.025704,-1.0721858
107,2.890853,-3.7809572
108,2.7054985,-0.58629656
109,4.1197295,-3.09089
110,-0.68059874,-2.6819344
111,-0.62045336,-4.5804005
112,6.924052,-2.2236252
113,-7.8770175,1.2572899
114,1.343725,-2.1861262
115,3.3433685,-3.492103
116,3.0833693,-4.6163774
117,3.427913,-3.161625
118,3.7388883,-2.2072592
119,2.0840623,-1.7671957
120,-11.083525,0.8286786
121,-8.197741,0.07544398
122,-1.0285776,-3.1009207
123,-1.4721189,-2.7598467
124,3.9746304,-1.2938185
125,-6.4182305,-0.11823249
126,0.28800988,-0.4805746
127,3.6284614,-0.50096965
128,0.4001503,-1.24719
129,-8.694885,-1.4288964
130,4.9765215,5.002982
131,1.2365959,-3.0234475
132,-6.1904836,-1.0651469
133,4.931948,-4.1188784
134,-5.099947,2.8934724
135,3.058378,-2.236003
136,2.7630284,-1.416523
137,0.62322235,-4.4743547
138,-4.9115844,-1.6082494
139,-11.800144,2.8345351
140,-3.4923978,1.5485965
141,4.0580397,0.6114167
142,5.2512126,1.2772124
143,-3.2057266,-2.6681843
144,3.5314715,0.036082268
